Cod_Venda;Cod_Data;DataNotaFiscal;Dia;Mes;Ano;Cod_Marca;Marca;UF;Nome_UF;PrecoVenda;PrecoCusto;TotalDesconto;Frete;CustoMaoDeObra;Cod_Modelo;Modelo;Id_Cor;Cores;Cod_Vendedor;Vendedor;Cod_Filial;Nome_Filial;Estado_Filial;Demog_Clientes;Meios_de_Pag;Cat_de_Produtos;Campanhas_de_Mkt;Informacoes_de_Devolu;Canais_de_Venda;Indi_Satisfacao
243;42872;17/05/2017;17;5;2017;M03;Patrilolo;AL;Alagoas;129,4;64,7;3,24;7,38;19,41;J001;Cropped;PMS 519;Vinho;1;Patricia;1;Allenópolis;SP;Feminino, 18-24, Classe A;Débito;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Sim, Tamanho Incorreto;Loja Física;3/5
244;44130;26/10/2020;26;10;2020;M01;Allen Machine;RJ;Rio de Janeiro;129,47;64,74;3,24;7,38;19,42;J006;Cigarrete;PMS 576;Verde;4;Edson;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Transferência Bancária;Flare, Jeans Reciclado, Rasgado;Black Friday;Não;Loja Física;4/5
245;42830;05/04/2017;5;4;2017;M02;Pardiucci;SP;São Paulo;129,5;64,75;3,24;7,38;19,43;J002;Skinny;PMS 7515;Bege;4;Edson;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Débito;Flare, Jeans Reciclado, Rasgado;Black Friday;Sim, Defeito no Produto;Online;4.5/5
246;43274;23/06/2018;23;6;2018;M03;Patrilolo;SP;São Paulo;129,58;64,79;3,24;7,39;19,44;J002;Skinny;PMS 2926;Preto;7;Pedro;4;Bauru;SP;Feminino, 45-54, Classe B;Transferência Bancária;Skinny, Algodão, Sem Rasgo;Dia das Mães;Sim, Tecido Incorreto;Loja Física;4/5
247;42570;19/07/2016;19;7;2016;M03;Patrilolo;TO;Tocantins;129,69;64,85;3,24;7,39;19,46;J006;Cigarrete;PMS 519;Vinho;7;Pedro;4;Bauru;SP;Feminino, 18-24, Classe A;Pix;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Não;Online;4/5
248;43548;24/03/2019;24;3;2019;M03;Patrilolo;RS;Rio Grande do Sul;131,41;65,71;3,29;7,49;19,71;J004;Pantacourt;PMS 2926;Preto;6;Airton;3;Rio Claro;MG;Feminino, 18-24, Classe A;Dinheiro;Skinny, Algodão, Sem Rasgo;Promoção de Verão;Sim, Tamanho Incorreto;Online;2/5
249;43455;21/12/2018;21;12;2018;M04;Salvion;MG;Minas Gerais;131,6;65,8;3,29;7,5;19,74;J003;Flare;PMS 7515;Bege;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Débito;Flare, Jeans Reciclado, Rasgado;Promoção de Verão;Não;Loja Física;3/5
250;42702;28/11/2016;28;11;2016;M04;Salvion;RS;Rio Grande do Sul;131,68;65,84;3,29;7,51;19,75;J006;Cigarrete;PMS 7515;Bege;5;Bianka;3;Rio Claro;MG;Masculino, 25-34, Classe B;Cartão de Crédito;Boyfriend, Algodão, Rasgado;Dia das Mães;Não;Loja Física;4/5
251;43391;18/10/2018;18;10;2018;M03;Patrilolo;RS;Rio Grande do Sul;131,7;65,85;3,29;7,51;19,76;J006;Cigarrete;PMS 2765;Branco;4;Edson;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Transferência Bancária;Boyfriend, Algodão, Rasgado;Liquidação de Inverno;Sim, Tecido Incorreto;Loja Física;3/5
252;44184;19/12/2020;19;12;2020;M05;Milteka;RO;Rondônia;132,31;66,16;3,31;7,54;19,85;J006;Cigarrete;PMS 2765;Branco;4;Edson;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Dia das Mães;Sim, Tecido Incorreto;Loja Física;5/5
253;43515;19/02/2019;19;2;2019;M05;Milteka;AP;Amapá;132,37;66,19;3,31;7,54;19,86;J004;Pantacourt;PMS 2965;Azul;1;Patricia;1;Allenópolis;SP;Masculino, 55-64, Classe A;Transferência Bancária;Cropped, Elastano, Lavagem Clara;Lançamento de Coleção;Sim, Defeito no Produto;Online;4.5/5
254;44087;13/09/2020;13;9;2020;M04;Salvion;CE;Ceará;133,17;66,59;3,33;7,59;19,98;J004;Pantacourt;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Transferência Bancária;Skinny, Algodão, Sem Rasgo;Black Friday;Sim, Tecido Incorreto;Online;4.5/5
255;43615;30/05/2019;30;5;2019;M01;Allen Machine;MT;Mato Grosso;133,23;66,62;3,33;7,59;19,99;J003;Flare;PMS 2765;Branco;4;Edson;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Transferência Bancária;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Não;Online;2/5
256;43784;15/11/2019;15;11;2019;M01;Allen Machine;BA;Bahia;133,29;66,65;3,33;7,6;20;J006;Cigarrete;PMS 2965;Azul;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Pix;Cropped, Elastano, Lavagem Clara;Liquidação de Inverno;Sim, Tecido Incorreto;Loja Física;4/5
257;42985;07/09/2017;7;9;2017;M04;Salvion;RR;Roraima;133,44;66,72;3,34;7,61;20,02;J005;Hot Pants;PMS 2926;Preto;4;Edson;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Transferência Bancária;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Sim, Tamanho Incorreto;Loja Física;2/5
258;42690;16/11/2016;16;11;2016;M02;Pardiucci;PB;Paraíba;133,56;66,78;3,34;7,61;20,03;J003;Flare;PMS 2765;Branco;2;Milton;1;Allenópolis;SP;Masculino, 25-34, Classe B;Dinheiro;Mom, Elastano, Lavagem Escura;Dia das Mães;Não;Loja Física;2/5
259;43265;14/06/2018;14;6;2018;M02;Pardiucci;MA;Maranhão;133,64;66,82;3,34;7,62;20,05;J005;Hot Pants;PMS 2926;Preto;2;Milton;1;Allenópolis;SP;Masculino, 55-64, Classe A;Pix;Cropped, Elastano, Lavagem Clara;Promoção de Verão;Sim, Tamanho Incorreto;Loja Física;4.5/5
260;43580;25/04/2019;25;4;2019;M02;Pardiucci;MS;Mato Grosso do Sul;134,3;67,15;3,36;7,65;20,15;J005;Hot Pants;PMS 2765;Branco;5;Bianka;3;Rio Claro;MG;Masculino, 55-64, Classe A;Cartão de Crédito;Mom, Elastano, Lavagem Escura;Promoção de Verão;Não;Loja Física;2/5
261;43218;28/04/2018;28;4;2018;M03;Patrilolo;MG;Minas Gerais;134,44;67,22;3,36;7,66;20,17;J005;Hot Pants;PMS 576;Verde;3;Maria Rosa;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Transferência Bancária;Cropped, Elastano, Lavagem Clara;Promoção de Verão;Sim, Tecido Incorreto;Online;3/5
262;43389;16/10/2018;16;10;2018;M03;Patrilolo;PB;Paraíba;135,08;67,54;3,38;7,7;20,26;J005;Hot Pants;PMS 7515;Bege;6;Airton;3;Rio Claro;MG;Masculino, 55-64, Classe A;Dinheiro;Mom, Elastano, Lavagem Escura;Black Friday;Sim, Tamanho Incorreto;Loja Física;4.5/5
263;44125;21/10/2020;21;10;2020;M03;Patrilolo;MS;Mato Grosso do Sul;135,31;67,66;3,38;7,71;20,3;J006;Cigarrete;PMS 2965;Azul;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Cartão de Crédito;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Não;Loja Física;2/5
264;43652;06/07/2019;6;7;2019;M01;Allen Machine;PI;Piauí;135,6;67,8;3,39;7,73;20,34;J005;Hot Pants;PMS 7515;Bege;4;Edson;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Transferência Bancária;Boyfriend, Algodão, Rasgado;Black Friday;Não;Online;2/5
265;43913;23/03/2020;23;3;2020;M03;Patrilolo;MS;Mato Grosso do Sul;135,77;67,89;3,39;7,74;20,37;J002;Skinny;PMS 2765;Branco;7;Pedro;4;Bauru;SP;Masculino, 55-64, Classe A;Transferência Bancária;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Não;Loja Física;4/5
266;42937;21/07/2017;21;7;2017;M05;Milteka;PE;Pernambuco;136,07;68,04;3,4;7,76;20,41;J006;Cigarrete;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Dinheiro;Flare, Jeans Reciclado, Rasgado;Liquidação de Inverno;Sim, Tamanho Incorreto;Loja Física;5/5
267;43339;27/08/2018;27;8;2018;M05;Milteka;SE;Sergipe;137,04;68,52;3,43;7,81;20,56;J001;Cropped;PMS 7515;Bege;1;Patricia;1;Allenópolis;SP;Masculino, 35-44, Classe C;Transferência Bancária;Flare, Jeans Reciclado, Rasgado;Liquidação de Inverno;Sim, Tamanho Incorreto;Online;5/5
268;43873;12/02/2020;12;2;2020;M02;Pardiucci;SC;Santa Catarina;137,55;68,78;3,44;7,84;20,63;J001;Cropped;PMS 576;Verde;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Cartão de Crédito;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Sim, Tamanho Incorreto;Loja Física;5/5
269;42551;30/06/2016;30;6;2016;M01;Allen Machine;MA;Maranhão;138,18;69,09;3,45;7,88;20,73;J001;Cropped;PMS 519;Vinho;1;Patricia;1;Allenópolis;SP;Masculino, 25-34, Classe B;Cartão de Crédito;Boyfriend, Algodão, Rasgado;Lançamento de Coleção;Sim, Tecido Incorreto;Online;4.5/5
270;44006;24/06/2020;24;6;2020;M05;Milteka;AC;Acre;138,18;69,09;3,45;7,88;20,73;J005;Hot Pants;PMS 519;Vinho;6;Airton;3;Rio Claro;MG;Feminino, 18-24, Classe A;Débito;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Não;Loja Física;5/5
271;42419;19/02/2016;19;2;2016;M01;Allen Machine;MG;Minas Gerais;138,19;69,1;3,45;7,88;20,73;J002;Skinny;PMS 2965;Azul;1;Patricia;1;Allenópolis;SP;Masculino, 25-34, Classe B;Pix;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Sim, Tecido Incorreto;Loja Física;2/5
272;43951;30/04/2020;30;4;2020;M04;Salvion;CE;Ceará;138,46;69,23;3,46;7,89;20,77;J006;Cigarrete;PMS 2926;Preto;1;Patricia;1;Allenópolis;SP;Feminino, 45-54, Classe B;Transferência Bancária;Boyfriend, Algodão, Rasgado;Liquidação de Inverno;Não;Loja Física;2/5
273;43766;28/10/2019;28;10;2019;M02;Pardiucci;RN;Rio Grande do Norte;138,65;69,33;3,47;7,9;20,8;J004;Pantacourt;PMS 2965;Azul;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Transferência Bancária;Skinny, Algodão, Sem Rasgo;Black Friday;Não;Loja Física;4.5/5
274;43752;14/10/2019;14;10;2019;M03;Patrilolo;RO;Rondônia;139,02;69,51;3,48;7,92;20,85;J005;Hot Pants;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Transferência Bancária;Flare, Jeans Reciclado, Rasgado;Black Friday;Não;Loja Física;4.5/5
275;43591;06/05/2019;6;5;2019;M03;Patrilolo;RO;Rondônia;139,49;69,75;3,49;7,95;20,93;J003;Flare;PMS 2765;Branco;1;Patricia;1;Allenópolis;SP;Feminino, 45-54, Classe B;Cartão de Crédito;Mom, Elastano, Lavagem Escura;Black Friday;Sim, Tecido Incorreto;Online;3/5
276;43035;27/10/2017;27;10;2017;M04;Salvion;AM;Amazonas;139,59;69,8;3,49;7,96;20,94;J004;Pantacourt;PMS 7515;Bege;2;Milton;1;Allenópolis;SP;Masculino, 35-44, Classe C;Transferência Bancária;Boyfriend, Algodão, Rasgado;Dia das Mães;Sim, Tamanho Incorreto;Online;5/5
277;44093;19/09/2020;19;9;2020;M04;Salvion;SP;São Paulo;139,63;69,82;3,49;7,96;20,95;J003;Flare;PMS 2926;Preto;6;Airton;3;Rio Claro;MG;Feminino, 18-24, Classe A;Débito;Flare, Jeans Reciclado, Rasgado;Liquidação de Inverno;Não;Loja Física;5/5
278;42738;03/01/2017;3;1;2017;M04;Salvion;TO;Tocantins;139,91;69,96;3,5;7,97;20,99;J001;Cropped;PMS 2965;Azul;2;Milton;1;Allenópolis;SP;Feminino, 18-24, Classe A;Dinheiro;Boyfriend, Algodão, Rasgado;Liquidação de Inverno;Sim, Defeito no Produto;Loja Física;3/5
279;42673;30/10/2016;30;10;2016;M05;Milteka;SC;Santa Catarina;140,02;70,01;3,5;7,98;21;J001;Cropped;PMS 2765;Branco;2;Milton;1;Allenópolis;SP;Masculino, 25-34, Classe B;Débito;Flare, Jeans Reciclado, Rasgado;Black Friday;Sim, Tamanho Incorreto;Online;4/5
280;43241;21/05/2018;21;5;2018;M02;Pardiucci;RR;Roraima;140,46;70,23;3,51;8,01;21,07;J006;Cigarrete;PMS 7515;Bege;7;Pedro;4;Bauru;SP;Feminino, 45-54, Classe B;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Dia das Mães;Não;Loja Física;3/5
281;43517;21/02/2019;21;2;2019;M05;Milteka;SP;São Paulo;140,68;70,34;3,52;8,02;21,1;J005;Hot Pants;PMS 7515;Bege;4;Edson;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Cartão de Crédito;Mom, Elastano, Lavagem Escura;Black Friday;Não;Loja Física;5/5
282;43454;20/12/2018;20;12;2018;M02;Pardiucci;PA;Pará;141,13;70,57;3,53;8,04;21,17;J001;Cropped;PMS 519;Vinho;4;Edson;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Transferência Bancária;Skinny, Algodão, Sem Rasgo;Black Friday;Não;Loja Física;5/5
283;42798;04/03/2017;4;3;2017;M02;Pardiucci;MA;Maranhão;141,93;70,97;3,55;8,09;21,29;J005;Hot Pants;PMS 2926;Preto;3;Maria Rosa;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Débito;Mom, Elastano, Lavagem Escura;Black Friday;Não;Online;5/5
284;42722;18/12/2016;18;12;2016;M01;Allen Machine;MS;Mato Grosso do Sul;142,01;71,01;3,55;8,09;21,3;J004;Pantacourt;PMS 2765;Branco;4;Edson;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Cartão de Crédito;Skinny, Algodão, Sem Rasgo;Lançamento de Coleção;Sim, Tamanho Incorreto;Online;4/5
285;43844;14/01/2020;14;1;2020;M03;Patrilolo;RO;Rondônia;142,35;71,18;3,56;8,11;21,35;J002;Skinny;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Dinheiro;Skinny, Algodão, Sem Rasgo;Promoção de Verão;Sim, Tamanho Incorreto;Online;3/5
286;43585;30/04/2019;30;4;2019;M02;Pardiucci;PR;Paraná;143,04;71,52;3,58;8,15;21,46;J005;Hot Pants;PMS 7515;Bege;4;Edson;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Pix;Flare, Jeans Reciclado, Rasgado;Promoção de Verão;Sim, Tamanho Incorreto;Loja Física;3/5
287;43891;01/03/2020;1;3;2020;M03;Patrilolo;MS;Mato Grosso do Sul;143,26;71,63;3,58;8,17;21,49;J005;Hot Pants;PMS 7515;Bege;6;Airton;3;Rio Claro;MG;Feminino, 18-24, Classe A;Dinheiro;Mom, Elastano, Lavagem Escura;Dia das Mães;Não;Loja Física;5/5
288;44011;29/06/2020;29;6;2020;M05;Milteka;MA;Maranhão;143,64;71,82;3,59;8,19;21,55;J002;Skinny;PMS 519;Vinho;5;Bianka;3;Rio Claro;MG;Feminino, 45-54, Classe B;Dinheiro;Boyfriend, Algodão, Rasgado;Dia das Mães;Não;Online;4/5
289;43347;04/09/2018;4;9;2018;M04;Salvion;PE;Pernambuco;143,78;71,89;3,59;8,2;21,57;J001;Cropped;PMS 576;Verde;6;Airton;3;Rio Claro;MG;Masculino, 25-34, Classe B;Débito;Cropped, Elastano, Lavagem Clara;Lançamento de Coleção;Sim, Tamanho Incorreto;Online;4/5
290;43704;27/08/2019;27;8;2019;M05;Milteka;PA;Pará;144,23;72,12;3,61;8,22;21,64;J001;Cropped;PMS 7515;Bege;7;Pedro;4;Bauru;SP;Masculino, 35-44, Classe C;Débito;Flare, Jeans Reciclado, Rasgado;Lançamento de Coleção;Sim, Defeito no Produto;Loja Física;3/5
291;43629;13/06/2019;13;6;2019;M04;Salvion;PR;Paraná;144,49;72,25;3,61;8,24;21,68;J001;Cropped;PMS 576;Verde;7;Pedro;4;Bauru;SP;Feminino, 18-24, Classe A;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Black Friday;Sim, Tamanho Incorreto;Online;4/5
292;43515;19/02/2019;19;2;2019;M03;Patrilolo;AC;Acre;144,65;72,33;3,62;8,24;21,7;J001;Cropped;PMS 7515;Bege;1;Patricia;1;Allenópolis;SP;Masculino, 35-44, Classe C;Débito;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Não;Online;3/5
293;42576;25/07/2016;25;7;2016;M01;Allen Machine;GO;Goiás;145,02;72,51;3,63;8,27;21,75;J003;Flare;PMS 7515;Bege;2;Milton;1;Allenópolis;SP;Feminino, 18-24, Classe A;Dinheiro;Skinny, Algodão, Sem Rasgo;Lançamento de Coleção;Sim, Defeito no Produto;Online;5/5
294;42545;24/06/2016;24;6;2016;M02;Pardiucci;MT;Mato Grosso;145,3;72,65;3,63;8,28;21,8;J003;Flare;PMS 7515;Bege;6;Airton;3;Rio Claro;MG;Feminino, 18-24, Classe A;Transferência Bancária;Skinny, Algodão, Sem Rasgo;Black Friday;Não;Loja Física;4/5
295;44073;30/08/2020;30;8;2020;M05;Milteka;AP;Amapá;145,4;72,7;3,64;8,29;21,81;J003;Flare;PMS 576;Verde;6;Airton;3;Rio Claro;MG;Feminino, 45-54, Classe B;Dinheiro;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Sim, Tamanho Incorreto;Loja Física;3/5
296;42834;09/04/2017;9;4;2017;M01;Allen Machine;MA;Maranhão;145,82;72,91;3,65;8,31;21,87;J003;Flare;PMS 2965;Azul;7;Pedro;4;Bauru;SP;Masculino, 25-34, Classe B;Débito;Boyfriend, Algodão, Rasgado;Liquidação de Inverno;Não;Loja Física;2/5
297;42657;14/10/2016;14;10;2016;M03;Patrilolo;PI;Piauí;145,95;72,98;3,65;8,32;21,89;J006;Cigarrete;PMS 519;Vinho;5;Bianka;3;Rio Claro;MG;Feminino, 45-54, Classe B;Dinheiro;Cropped, Elastano, Lavagem Clara;Black Friday;Não;Online;2/5
298;42688;14/11/2016;14;11;2016;M05;Milteka;MG;Minas Gerais;146,48;73,24;3,66;8,35;21,97;J004;Pantacourt;PMS 576;Verde;4;Edson;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Dinheiro;Boyfriend, Algodão, Rasgado;Black Friday;Não;Online;4.5/5
299;44005;23/06/2020;23;6;2020;M04;Salvion;MS;Mato Grosso do Sul;146,76;73,38;3,67;8,37;22,01;J002;Skinny;PMS 7515;Bege;3;Maria Rosa;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Débito;Flare, Jeans Reciclado, Rasgado;Black Friday;Sim, Defeito no Produto;Online;4.5/5
300;43255;04/06/2018;4;6;2018;M01;Allen Machine;RO;Rondônia;146,99;73,5;3,67;8,38;22,05;J004;Pantacourt;PMS 7515;Bege;2;Milton;1;Allenópolis;SP;Masculino, 35-44, Classe C;Pix;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Não;Loja Física;3/5
301;42998;20/09/2017;20;9;2017;M01;Allen Machine;PI;Piauí;147,26;73,63;3,68;8,39;22,09;J005;Hot Pants;PMS 576;Verde;5;Bianka;3;Rio Claro;MG;Feminino, 45-54, Classe B;Dinheiro;Skinny, Algodão, Sem Rasgo;Black Friday;Sim, Defeito no Produto;Loja Física;4/5
302;43957;06/05/2020;6;5;2020;M05;Milteka;PA;Pará;147,75;73,88;3,69;8,42;22,16;J005;Hot Pants;PMS 519;Vinho;1;Patricia;1;Allenópolis;SP;Masculino, 35-44, Classe C;Cartão de Crédito;Mom, Elastano, Lavagem Escura;Liquidação de Inverno;Sim, Tecido Incorreto;Online;4/5
303;43831;01/01/2020;1;1;2020;M05;Milteka;DF;Distrito Federal;147,88;73,94;3,7;8,43;22,18;J002;Skinny;PMS 2765;Branco;3;Maria Rosa;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Transferência Bancária;Mom, Elastano, Lavagem Escura;Liquidação de Inverno;Sim, Tecido Incorreto;Online;4/5
304;43028;20/10/2017;20;10;2017;M01;Allen Machine;AL;Alagoas;148,17;74,09;3,7;8,45;22,23;J001;Cropped;PMS 2765;Branco;7;Pedro;4;Bauru;SP;Masculino, 35-44, Classe C;Débito;Mom, Elastano, Lavagem Escura;Dia das Mães;Sim, Tecido Incorreto;Online;4/5
305;43308;27/07/2018;27;7;2018;M05;Milteka;CE;Ceará;148,46;74,23;3,71;8,46;22,27;J005;Hot Pants;PMS 2926;Preto;7;Pedro;4;Bauru;SP;Masculino, 35-44, Classe C;Dinheiro;Cropped, Elastano, Lavagem Clara;Liquidação de Inverno;Não;Online;5/5
306;43992;10/06/2020;10;6;2020;M05;Milteka;PA;Pará;148,76;74,38;3,72;8,48;22,31;J004;Pantacourt;PMS 2965;Azul;5;Bianka;3;Rio Claro;MG;Masculino, 25-34, Classe B;Pix;Boyfriend, Algodão, Rasgado;Lançamento de Coleção;Sim, Tamanho Incorreto;Online;4/5
307;43256;05/06/2018;5;6;2018;M02;Pardiucci;PE;Pernambuco;149;74,5;3,73;8,49;22,35;J003;Flare;PMS 576;Verde;2;Milton;1;Allenópolis;SP;Feminino, 45-54, Classe B;Cartão de Crédito;Flare, Jeans Reciclado, Rasgado;Liquidação de Inverno;Sim, Defeito no Produto;Online;4/5
308;43257;06/06/2018;6;6;2018;M02;Pardiucci;SE;Sergipe;149,03;74,52;3,73;8,49;22,36;J003;Flare;PMS 2926;Preto;5;Bianka;3;Rio Claro;MG;Masculino, 35-44, Classe C;Transferência Bancária;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Não;Online;4/5
309;44101;27/09/2020;27;9;2020;M03;Patrilolo;PR;Paraná;149,41;74,71;3,74;8,52;22,41;J006;Cigarrete;PMS 2926;Preto;6;Airton;3;Rio Claro;MG;Masculino, 55-64, Classe A;Cartão de Crédito;Mom, Elastano, Lavagem Escura;Liquidação de Inverno;Sim, Tamanho Incorreto;Online;3/5
310;43033;25/10/2017;25;10;2017;M01;Allen Machine;PB;Paraíba;149,55;74,78;3,74;8,52;22,43;J003;Flare;PMS 2765;Branco;2;Milton;1;Allenópolis;SP;Feminino, 18-24, Classe A;Dinheiro;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Sim, Tecido Incorreto;Loja Física;2/5
311;42913;27/06/2017;27;6;2017;M03;Patrilolo;PE;Pernambuco;149,61;74,81;3,74;8,53;22,44;J004;Pantacourt;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Dinheiro;Mom, Elastano, Lavagem Escura;Promoção de Verão;Sim, Tecido Incorreto;Online;4/5
312;43600;15/05/2019;15;5;2019;M03;Patrilolo;MS;Mato Grosso do Sul;149,79;74,9;3,74;8,54;22,47;J006;Cigarrete;PMS 2926;Preto;7;Pedro;4;Bauru;SP;Masculino, 55-64, Classe A;Pix;Cropped, Elastano, Lavagem Clara;Lançamento de Coleção;Não;Loja Física;4/5
313;42466;06/04/2016;6;4;2016;M04;Salvion;ES;Espírito Santo;150,13;75,07;3,75;8,56;22,52;J006;Cigarrete;PMS 7515;Bege;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Débito;Skinny, Algodão, Sem Rasgo;Dia das Mães;Sim, Defeito no Produto;Online;2/5
314;42782;16/02/2017;16;2;2017;M03;Patrilolo;SP;São Paulo;150,38;75,19;3,76;8,57;22,56;J006;Cigarrete;PMS 576;Verde;4;Edson;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Dinheiro;Mom, Elastano, Lavagem Escura;Liquidação de Inverno;Sim, Defeito no Produto;Loja Física;2/5
315;43107;07/01/2018;7;1;2018;M01;Allen Machine;ES;Espírito Santo;150,49;75,25;3,76;8,58;22,58;J005;Hot Pants;PMS 576;Verde;6;Airton;3;Rio Claro;MG;Masculino, 35-44, Classe C;Pix;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Não;Online;5/5
316;43872;11/02/2020;11;2;2020;M05;Milteka;PR;Paraná;150,7;75,35;3,77;8,59;22,61;J006;Cigarrete;PMS 519;Vinho;7;Pedro;4;Bauru;SP;Masculino, 55-64, Classe A;Cartão de Crédito;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Não;Online;4.5/5
317;43836;06/01/2020;6;1;2020;M03;Patrilolo;AP;Amapá;150,75;75,38;3,77;8,59;22,61;J001;Cropped;PMS 7515;Bege;6;Airton;3;Rio Claro;MG;Feminino, 18-24, Classe A;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Dia das Mães;Sim, Defeito no Produto;Loja Física;4.5/5
318;43969;18/05/2020;18;5;2020;M05;Milteka;RJ;Rio de Janeiro;150,76;75,38;3,77;8,59;22,61;J004;Pantacourt;PMS 2965;Azul;2;Milton;1;Allenópolis;SP;Masculino, 55-64, Classe A;Pix;Mom, Elastano, Lavagem Escura;Promoção de Verão;Sim, Defeito no Produto;Loja Física;2/5
319;43705;28/08/2019;28;8;2019;M05;Milteka;RR;Roraima;150,93;75,47;3,77;8,6;22,64;J001;Cropped;PMS 2926;Preto;4;Edson;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Cartão de Crédito;Flare, Jeans Reciclado, Rasgado;Lançamento de Coleção;Sim, Tecido Incorreto;Loja Física;5/5
320;43546;22/03/2019;22;3;2019;M04;Salvion;CE;Ceará;151,22;75,61;3,78;8,62;22,68;J002;Skinny;PMS 2926;Preto;1;Patricia;1;Allenópolis;SP;Masculino, 35-44, Classe C;Cartão de Crédito;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Não;Loja Física;3/5
321;43506;10/02/2019;10;2;2019;M05;Milteka;RJ;Rio de Janeiro;151,53;75,77;3,79;8,64;22,73;J006;Cigarrete;PMS 519;Vinho;2;Milton;1;Allenópolis;SP;Masculino, 25-34, Classe B;Débito;Skinny, Algodão, Sem Rasgo;Promoção de Verão;Sim, Tecido Incorreto;Online;4/5
322;43663;17/07/2019;17;7;2019;M02;Pardiucci;AM;Amazonas;151,87;75,94;3,8;8,66;22,78;J001;Cropped;PMS 2965;Azul;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Débito;Flare, Jeans Reciclado, Rasgado;Liquidação de Inverno;Sim, Tamanho Incorreto;Online;2/5
323;42672;29/10/2016;29;10;2016;M03;Patrilolo;AC;Acre;152,01;76,01;3,8;8,66;22,8;J002;Skinny;PMS 2965;Azul;6;Airton;3;Rio Claro;MG;Masculino, 55-64, Classe A;Dinheiro;Cropped, Elastano, Lavagem Clara;Liquidação de Inverno;Sim, Tecido Incorreto;Online;5/5
324;44163;28/11/2020;28;11;2020;M04;Salvion;MT;Mato Grosso;152,35;76,18;3,81;8,68;22,85;J004;Pantacourt;PMS 576;Verde;4;Edson;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Pix;Skinny, Algodão, Sem Rasgo;Black Friday;Sim, Defeito no Produto;Online;2/5
325;43354;11/09/2018;11;9;2018;M05;Milteka;MA;Maranhão;152,71;76,36;3,82;8,7;22,91;J004;Pantacourt;PMS 2926;Preto;2;Milton;1;Allenópolis;SP;Feminino, 18-24, Classe A;Pix;Boyfriend, Algodão, Rasgado;Black Friday;Sim, Defeito no Produto;Loja Física;5/5
